Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed\
Brandon Clarke\\clarkbr01,MEM,2478840,2602920,2726880,4343920,,,1st Round Pick,$5081760\
Brandon Goodwin\\goodwbr01,ATL,522738,1701593,,,,,Minimum Salary,$522738\
Brandon Ingram\\ingrabr01,NOP,7265485,,,,,,1st Round pick,$7265485\
Brandon Knight\\knighbr03,DET,15643750,,,,,,Bird Rights,$15643750\
Brook Lopez\\lopezbr01,MIL,12093024,12697675,13302325,13906976,,,Cap Space,$52000000\
Bruce Brown\\brownbr01,DET,1416852,1663861,,,,,MLE,$1416852\
Bruno Caboclo\\cabocbr01,HOU,1845301,,,,,,Minimum Salary,$1845301\
Bruno Fernando\\fernabr01,ATL,1400000,1517981,1782621,,,,Cap space,$4700602\
Bryn Forbes\\forbebr01,SAS,2875000,,,,,,Early Bird Rights,$2875000\
Buddy Hield\\hieldbu01,SAC,4861208,24431818,22477273,20522727,18568182,,1st Round pick,$90861208\
C.J. Miles\\milescj01,WAS,8730158,,,,,,,$8730158\
C.J. Watson\\watsocj01,ORL,333333,,,,,,,$333333\
Caleb Martin\\martica02,CHO,898310,1517981,1782621,,,,Minimum Salary,$898310\
Caleb Swanigan\\swanica01,POR,2033160,,,,,,1st Round Pick,$2033160\
Cam Reddish\\reddica01,ATL,4245720,4458000,4670160,5954454,,,1st Round Pick,$8703720\
Cameron Johnson\\johnsca02,PHO,4033440,4235160,4437000,5887899,,,1st Round Pick,$8268600\
Caris LeVert\\leverca01,BRK,2625718,16203704,17500000,18796296,,,1st Round pick,$55125718\
Carmelo Anthony\\anthoca01,POR,2159029,,,,,,Minimum Salary,$2159029\
Carsen Edwards\\edwarca01,BOS,1228026,1517981,1782621,1930681,,,Cap space,$4528628\
Cedi Osman\\osmande01,CLE,2907143,8750000,8050000,7350000,6650000,,MLE,$27057143\
Chandler Hutchison\\hutchch01,CHI,2332320,2443440,4019459,,,,1st Round Pick,$4775760\
Chandler Parsons\\parsoch01,ATL,25102511,,,,,,,$25102511\
Chasson Randle\\randlch01,GSW,91557,,,,,,,$91557\
Cheick Diallo\\diallch01,PHO,1678854,1824003,,,,,Minimum Salary,$1678854\
Chimezie Metu\\metuch01,SAS,1416852,1663861,,,,,MLE,$1416852\
Chris Boucher\\bouchch01,TOR,1588231,,,,,,Minimum Salary,$1588231\
Chris Clemons\\clemoch01,HOU,568422,1517981,1782621,,,,MLE,$568422\
Chris Paul\\paulch01,OKC,38506482,41358814,44211146,,,,Bird Rights,$79865296\
Chris Silva\\silvach01,MIA,466918,1517981,1782621,,,,MLE,$1984899\
Christian Wood\\woodch01,DET,1645357,,,,,,Minimum Salary,$1645357\
CJ McCollum\\mccolcj01,POR,27556959,29354152,30864198,33333333,35802469,,1st Round Pick,$156911111\
Clint Capela\\capelca01,ATL,16456522,17500000,18543478,19586957,,,Bird Rights,$72086957\
Coby White\\whiteco01,CHI,5307120,5572680,5837760,7413955,,,1st Round Pick,$10879800\
Cody Martin\\martico01,CHO,1173310,1517981,1782621,,,,MLE,$4473912\
Cody Zeller\\zelleco01,CHO,14471910,15415730,,,,,1st Round Pick,$29887640\
Cole Aldrich\\aldrico01,MIN,685340,685340,,,,,,$1370680\
Collin Sexton\\sextoco01,CLE,4764960,4991880,6349671,,,,1st Round Pick,$9756840\
Corey Brewer\\breweco01,SAC,289803,,,,,,Minimum Salary,$289803\
Cory Joseph\\josepco01,SAC,12000000,12600000,12600000,,,,Cap Space,$24600000\
Courtney Lee\\leeco01,DAL,12759670,,,,,,Cap Space,$12759670\
Cristiano Felicio\\feliccr01,CHI,8156500,7529020,,,,,Cap space,$15685520\
D.J. Augustin\\augusdj01,ORL,7250000,,,,,,Cap Space,$7250000\
D.J. Wilson\\wilsodj01,MIL,2961120,4548280,,,,,1st Round Pick,$7509400\
D'Angelo Russell\\russeda01,MIN,27285000,28649250,30013500,31377750,,,Sign and Trade,$117325500\
Dakari Johnson\\johnsda04,MEM,459414,459414,,,,,,$918828\
Damian Jones\\jonesda03,ATL,2305057,,,,,,1st Round pick,$2305057\
Damian Lillard\\lillada01,POR,29802321,31626953,43750000,47250000,50750000,54250000,1st Round Pick,$257429274\
Damion Lee\\leeda03,GSW,842327,1762796,1910860,,,,MLE,$1442327\
Damyean Dotson\\dotsoda01,NYK,1618520,,,,,,Minimum Salary,$1618520\
Daniel Gafford\\gaffoda01,CHI,898310,1517981,1782621,1930681,,,Minimum Salary,$2416291\
Daniel Theis\\theisda01,BOS,5000000,5000000,,,,,Early Bird Rights,$5000000\
Danilo Gallinari\\gallida01,OKC,22615559,,,,,,Sign and Trade,$22615559\
Danny Green\\greenda02,LAL,14634146,15365854,,,,,Cap Space,$30000000\
Dante Exum\\exumda01,CLE,9600000,9600000,,,,,Cap Space,$18200000\
Danuel House\\houseda01,HOU,3540000,3717000,3894000,,,,MLE,$11151000\
Dario Saric\\saricda01,PHO,3481986,,,,,,1st Round pick,$3481986\
Darius Bazley\\bazleda01,OKC,2284800,2399160,2513040,4264629,,,1st Round Pick,$4683960\
Darius Garland\\garlada01,CLE,6400920,6720720,7040880,8920795,,,1st Round Pick,$13121640\
Darius Miller\\milleda01,NOP,7250000,7000000,,,,,Early Bird Rights,$7250000\
Davis Bertans\\bertada01,WAS,7000000,,,,,,Early Bird Rights,$7000000\
De'Aaron Fox\\foxde01,SAC,6392760,8099627,,,,,1st Round Pick,$14492387\
De'Andre Hunter\\huntede01,ATL,7068360,7422000,7775400,9835881,,,1st Round Pick,$14490360\
De'Anthony Melton\\meltode01,MEM,1416852,,,,,,Cap Space,$1416852\
Dean Wade\\wadede01,CLE,375000,1517981,1782621,1930681,,,MLE,$375000\
Deandre Ayton\\aytonde01,PHO,9562920,10018200,12632950,,,,1st Round Pick,$19581120\
DeAndre Jordan\\jordade01,BRK,9881598,10375678,9881598,9821842,,,Cap space,$39960716\
DeAndre' Bembry\\bembrde01,ATL,2603982,,,,,,1st Round pick,$2603982\
Dejounte Murray\\murrade01,SAS,2321735,14285714,15428571,16571429,17714286,,1st Round pick,$66321735\
Delon Wright\\wrighde01,DAL,9473684,9000000,8526316,,,,Sign and Trade,$27000000\
DeMar DeRozan\\derozde01,SAS,27739975,27739975,,,,,Cap Space,$27739975\
DeMarcus Cousins\\couside01,LAL,3500000,,,,,,,$3500000\
Demetrius Jackson\\jacksde01,BOS,92857,92857,92857,92857,92857,,,$464285\
Dennis Schroder\\schrode01,OKC,15500000,15500000,,,,,1st Round Pick,$31000000\
Dennis Smith\\smithde03,NYK,4463640,5686677,,,,,1st Round Pick,$10150317\
Denzel Valentine\\valende01,CHI,3377569,,,,,,1st Round pick,$3377569\
Deonte Burton\\burtode02,OKC,1416852,1663861,,,,,Minimum Salary,$1416852\
Deron Williams\\willide01,BRK,5474787,,,,,,,$5474787\
Derrick Favors\\favorde01,NOP,17650000,,,,,,Bird Rights,$17650000\
Derrick Jones\\jonesde02,MIA,1645357,,,,,,Minimum Salary,$1645357\
Derrick Rose\\rosede01,DET,7317073,7682927,,,,,MLE,$15000000\
Derrick White\\whitede01,SAS,1948080,3516284,,,,,1st Round Pick,$5464364\
Devin Booker\\bookede01,PHO,27250000,29430000,31610000,33790000,35970000,,1st round pick,$158050000\
Devonte' Graham\\grahade01,CHO,1416852,1663861,,,,,MLE,$1416852\
Dewan Hernandez\\hernade01,TOR,898310,1517981,1782621,,,,MLE,$898310\
Dewayne Dedmon\\dedmode01,ATL,13333334,13333333,13333333,,,,Cap space,$40000000\
Dillon Brooks\\brookdi01,MEM,1618520,11400000,12200000,11400000,,,MLE,$36618520\
Domantas Sabonis\\sabondo01,IND,3529555,17187500,18562500,19937500,21312500,,1st Round pick,$80529555\
Donovan Mitchell\\mitchdo01,UTA,3635760,5195501,,,,,1st Round Pick,$8831261\
Donte DiVincenzo\\divindo01,MIL,2905800,3044160,4675830,,,,1st Round Pick,$5949960\
Dorian Finney-Smith\\finnedo01,DAL,4000000,4000000,4000000,,,,Bird Rights,$12000000\
Doug McDermott\\mcderdo01,IND,7333334,7333333,,,,,Cap Space,$14666667\
Draymond Green\\greendr01,GSW,18539130,22246956,24026712,25806469,27586225,,Bird Rights,$90619267\
Duncan Robinson\\robindu01,MIA,1416852,1663861,,,,,MLE,$1416852\
Dusty Hannahs\\hannadu01,MEM,81678,,,,,,,$81678\
Dwayne Bacon\\bacondw01,CHO,1618520,,,,,,MLE,$1618520\
Dwight Powell\\poweldw01,DAL,10259375,10185185,11000000,11814815,,,Cap Space,$43259375\
Dylan Windler\\windldy01,CLE,2035800,2137440,2239200,4037278,,,1st Round Pick,$4173240\
Dzanan Musa\\musadz01,BRK,1911600,2002800,3615054,,,,1st Round Pick,$3914400\
E'Twaun Moore\\mooreet01,NOP,8664928,,,,,,Cap Space,$8664928\
Ed Davis\\davised01,UTA,4767000,5005350,,,,,Room Exception,$9772350\
Edmond Sumner\\sumneed01,IND,2000000,2160000,2320000,,,,Cap Space,$4160000\
Elfrid Payton\\paytoel01,NYK,8000000,8000000,,,,,Cap Space,$9000000\
Elie Okobo\\okoboel01,PHO,1416852,1663861,1802057,,,,Cap Space,$1416852\
Emmanuel Mudiay\\mudiaem01,UTA,1737145,,,,,,Minimum Salary,$1737145\
Enes Kanter\\kanteen01,BOS,4767000,5005350,,,,,Room Exception,$4767000\
Eric Bledsoe\\bledser01,MIL,15625000,16875000,18125000,19375000,,,Bird Rights,$54525000\
Eric Gordon\\gordoer01,HOU,14057730,16869276,18218818,19568360,20917902,,Cap Space,$68714184\
Eric Mika\\mikaer01,SAC,50752,,,,,,,$50752\
Eric Paschall\\pascher01,GSW,898310,1517981,1782621,,,,MLE,$4198912\
Ersan Ilyasova\\ilyaser01,MIL,7000000,7000000,,,,,MLE,$7000000\
Evan Fournier\\fournev01,ORL,17000000,17000000,,,,,Cap Space,$17000000\
Evan Turner\\turneev01,MIN,18606557,,,,,,Cap Space,$18606557\
Festus Ezeli\\ezelife01,POR,333333,,,,,,,$333333\
Frank Jackson\\jacksfr01,NOP,1618520,,,,,,MLE,$1618520\
Frank Kaminsky\\kaminfr01,PHO,4767000,5005350,,,,,Room Exception,$9772350\
Frank Ntilikina\\ntilila01,NYK,4855800,6176578,,,,,1st Round Pick,$11032378\
Fred VanVleet\\vanvlfr01,TOR,9000000,,,,,,Bird Rights,$9000000\
Furkan Korkmaz\\korkmfu01,PHI,1620564,1762796,,,,,Minimum Salary,$1620564\
Garrett Temple\\templga01,BRK,4767000,5005350,,,,,Room Exception,$4767000\
Gary Harris\\harriga01,DEN,17839286,19160714,20482143,,,,1st Round Pick,$57482143\
Gary Payton\\paytoga02,WAS,1090781,,,,,,Minimum Salary,$1090781\
Gary Trent\\trentga02,POR,1416852,1663861,,,,,MLE,$3080713\
Georges Niang\\niangge01,UTA,1678854,1783557,,,,,Non-Bird Exception,$1678854\
Gerald Green\\greenge01,DEN,2564753,,,,,,,$2564753\
Giannis Antetokounmpo\\antetgi01,MIL,25842697,27528090,,,,,1st Round Pick,$53370787\
Glenn Robinson\\robingl02,PHI,1882867,2071978,,,,,Minimum Salary,$1882867\
Goga Bitadze\\bitadgo01,IND,2816760,2957520,3098400,4765339,,,1st Round Pick,$5774280\
